city,year,Ctnm,Cttyp,GDP,Gdpct01,Gdpct02,Gdpct03,GDP_PerCapita,GDP_PrimInd,GDP_SecInd,GDP_TerInd,Eect04,Eect05,Eect06,Eect08,Eect09,Eect10,Eect11,Eect12,wage,hpopu,urban,nightLight
6205,2015,天水市,地级市,553.7728,17.6,33.51,48.89,16743.0,974899.0,1855475.0,2707354.0,257.06,22.7881,13.8177,2.04,30.46,67.51,18.87,863206.0,45546.0,367.1723,35.29999923706055,0.1319784012686926
6204,2015,白银市,地级市,434.2749,13.59,44.73,41.68,25410.0,590257.0,1942477.0,1810015.0,85.55,17.9179,5.3262,1.33,47.43,51.24,16.31,835012.0,51196.0,180.7636,46.52999877929688,0.0752922001167951
2110,2015,辽阳市,地级市,1028.5818,7.0599,55.2671,37.673,55674.0,726172.0,5684674.0,3874972.0,373.85,17.3529,16.6189,1.64,46.5,51.85,17.63,894268.0,50716.0,179.0,37.86000061035156,0.9583623171013614
6208,2015,平凉市,地级市,347.6994,27.1,27.88,45.02,16595.0,942088.0,969541.0,1565364.91,208.59,18.1987,21.256,1.04,43.22,55.75,16.92,902465.0,53028.0,233.0761,36.26800155639648,0.1160912744767461
6211,2015,定西市,地级市,304.9178,25.24,21.81,52.95,10987.0,769718.0,664883.0,1614577.0,153.5,15.5227,33.2614,0.88,29.07,70.05,15.05,727852.0,4958.0,300.8745,30.39999961853027,0.070796454075417
6230,2015,甘南藏族自治州,地级市,126.5416,21.34,16.36,62.3,17990.0,270060.0,207004.0,788352.0,153.5,15.5227,33.2614,0.88,29.07,70.05,15.05,727852.0,4958.0,72.8276,30.39999961853027,0.0123146189448374
6202,2015,嘉峪关市,地级市,190.0442,2.2,57.02,40.78,78336.44,41754.0,1083579.0,775109.0,68.14,7.2874,4.87,11.22,59.82,28.97,4.82,274557.0,53998.0,20.2544,93.41999816894533,1.333607117242289
2111,2015,盘锦市,地级市,1256.5377,9.6353,53.4791,36.8856,87351.0,1210710.0,6719851.0,4634816.0,319.8,46.4428,24.5961,35.66,38.35,25.98,45.16,1877790.0,41579.0,129.5,45.11199951171875,1.667743169518394
2104,2015,抚顺市,地级市,1216.4773,8.0581,48.8678,43.0741,58597.0,980247.0,5944659.0,5239867.0,191.63,27.4466,36.3181,1.59,52.49,45.92,27.57,1384624.0,50225.0,215.8,60.45399856567383,0.4035551831809555
2109,2015,阜新市,地级市,525.5376,22.5061,38.21,39.2838,29491.0,1182781.0,2008081.0,2064514.0,182.52,19.2556,24.2517,1.67,45.24,53.09,18.1,831585.0,45939.0,189.5,39.56700134277344,0.1533297906436315
6210,2015,庆阳市,地级市,609.4314,13.5,52.71,33.79,27366.0,822519.0,3212595.0,2059200.0,98.45,18.0149,12.8,0.28,37.7,62.02,16.69,934508.0,56002.0,267.3111,27.90999984741211,0.1684953434733004
2112,2015,铁岭市,地级市,740.9003,27.684,31.7866,40.5294,27885.0,2051110.0,2355068.0,3002825.0,231.04,24.4774,18.6656,6.84,41.42,51.74,24.13,1024869.0,42473.0,300.4,30.37299919128418,0.1481368447759552
2114,2015,葫芦岛市,地级市,720.1673,14.4903,41.1417,44.3679,28176.0,1043547.0,2962894.0,3195232.0,268.87,24.7957,24.7202,1.13,49.62,49.25,23.32,1097021.0,47048.0,280.1,30.05400085449219,0.2734013793050827
4331,2015,湘西土家族苗族自治州,地级市,720.1673,14.4903,41.1417,44.3679,28176.0,1043547.0,2962894.0,3195232.0,268.87,24.7957,24.7202,1.13,49.62,49.25,23.32,1097021.0,47048.0,280.1,30.05400085449219,0.0640674310834829
6203,2015,金昌市,地级市,224.5161,8.01,58.21,33.78,47739.0,179786.0,1306969.0,758406.0,51.71,11.0758,9.2894,1.38,69.83,28.8,9.43,496670.0,52683.0,45.6859,67.95999908447266,0.1691467253345743
3502,2015,厦门市,副省级市,3466.03,0.7,44.4,54.9,90379.0,239300.0,15112800.0,19308200.0,1241.91,136.7698,171.7601,0.12,64.05,35.82,115.33,7629654.0,66930.0,211.15,88.9000015258789,8.759451587977825
6201,2015,兰州市,地级市,2095.992,2.68,37.34,59.98,56972.0,562232.51,7826545.0,12571142.0,246.06,67.1803,74.8067,0.1,45.43,54.47,58.46,3636023.0,62201.0,321.8984,80.94999694824219,0.7310104033511468
1525,2015,锡林郭勒盟,地级市,1000.1,10.54894510548945,61.1058894110589,28.34516548345166,96025.0,1055000.0,6111200.0,2834800.0,246.06,67.1803,74.8067,0.1,45.43,54.47,58.46,3636023.0,62201.0,321.8984,80.94999694824219,0.013744546724612
4418,2015,清远市,地级市,1277.857,15.07,37.94,47.0,33392.0,1925730.499,4848189.458,6005927.899999999,220.11,31.4989,33.758,0.46,48.74,50.8,31.04,1855621.0,59788.0,418.51,49.06999969482422,0.38469739750971
4407,2015,江门市,地级市,2240.0243,7.79,48.42,43.79,49608.0,1744978.9297,10846197.6606,9809066.4097,411.36,58.2854,76.0748,0.09,61.06,38.85,56.12,3036508.0,54106.0,391.41,64.83999633789062,1.192191258172157
